"Site Name_2024","GRI ID","Stewardship_2024","Missing or demolished_2024","Complete short circuit at inlet_2024","Complete short circuit at outlet_2024","No ponding depth_2024","Standing water 24 hours after rain_2024","CDA Score_2024","Inlet Score_2024","Pre-Treatment Score_2024","Planting Bed Score_2024","Outlet Score_2024","Vegetation Score_2024","Soil Score_2024","Total Score_2024","Condition Score_2024","Year_2024","Site Name_2022","Missing or demolished_2022","Complete short circuit at inlet_2022","Complete short circuit at outlet_2022","No ponding depth_2022","Standing water 24 hours after rain_2022","CDA Score_2022","Inlet Score_2022","Pre-Treatment Score_2022","Planting Bed Score_2022","Outlet Score_2022","Vegetation Score_2022","Soil Score_2022","Total Score_2022","Condition Score_2022","Year_2022","Stewardship_2022"
"Balsam St @ W Broadway NW",120003,"Green Streets","no","no","no","yes","no",1.66666666666667,1.4,1.75,1.85714285714286,1.4,1.6,2.5,2.21105442176871,5,2024,"Balsam St @ W Broadway NW","no","no","no","no","no",1.66666666666667,1.5,1.75,1.83333333333333,1.5,1.33333333333333,1,1.9702380952381,2,2022,"No Stewardship"
"Larch St @ W Broadway SW",120040,"No Stewardship","no","no","no","yes","no",2.33333333333333,1.8,3.25,2,1.6,3,4,3.28690476190476,5,2024,"Larch St @ W Broadway SW","no","no","no","yes","no",2.33333333333333,2,2.5,2.83333333333333,1.33333333333333,2.33333333333333,1.33333333333333,2.78571428571429,5,2022,"No Stewardship"
"Trafalgar St @ W Broadway SW",120057,"No Stewardship","no","no","no","yes","no",2,1.8,2,2,1.5,3.5,4,3.06428571428571,5,2024,"Trafalgar St @ W Broadway SW","no","no","no","yes","no",2,2.25,3.5,2.66666666666667,1.33333333333333,2.33333333333333,3.33333333333333,3.25595238095238,5,2022,"No Stewardship"
"Trafalgar St @ W Broadway SE",120059,"No Stewardship","no","no","no","yes","no",2.33333333333333,1.8,1.75,2,1.33333333333333,2.75,4,2.87380952380952,5,2024,"Trafalgar St @ W Broadway SE","no","no","no","yes","no",2.33333333333333,2,2.5,2,1.33333333333333,2.33333333333333,3,2.8452380952381,5,2022,"No Stewardship"
"Kerr St - W side, top of block",130007,"No Stewardship","no","yes","no","yes","no",3.33333333333333,2,1.66666666666667,2.28571428571429,2,3,3,3.10884353741497,5,2024,"Kerr St - West side of street, top of block","no","yes","no","no","no",3.33333333333333,2.25,1.75,2.33333333333333,1.66666666666667,4.66666666666667,3.33333333333333,3.54761904761905,5,2022,"No Stewardship"
"Kerr St - W side, midblock",130008,"No Stewardship","no","yes","no","yes","no",3.33333333333333,1.8,1.75,2.28571428571429,1.4,2.75,4.5,3.15884353741497,5,2024,"Kerr St - West side of street mid block","no","yes","no","yes","no",3.33333333333333,2.25,1.75,2.33333333333333,1.5,3.66666666666667,3.33333333333333,3.30952380952381,5,2022,"No Stewardship"
"Kerr St @ E Kent Ave N SW",130009,"No Stewardship","no","yes","no","yes","no",3.33333333333333,2,1.75,2.28571428571429,1.4,3,3,3.04098639455782,5,2024,"Kerr St - West side of street bottom of block before E Kent Ave","no","yes","no","yes","no",3.33333333333333,2.25,1.75,2.33333333333333,1.5,3.33333333333333,3,3.19047619047619,5,2022,"No Stewardship"
"Kerr St @ E Kent Ave N SE",130010,"No Stewardship","no","yes","no","yes","no",3.33333333333333,1.8,1.75,2.14285714285714,1.2,3.66666666666667,4.5,3.29608843537415,5,2024,"Kerr St - East side of road bottom of road before E Kent Ave.","no","yes","no","yes","no",3.33333333333333,2.25,1.75,2.66666666666667,1.33333333333333,5,3.33333333333333,3.64285714285714,5,2022,"No Stewardship"
"Kerr St - E side, top of block",130011,"No Stewardship","no","yes","no","yes","no",3,2,1.75,2.28571428571429,2.2,3.5,4.5,3.42908163265306,5,2024,"Kerr St - East side of road top of the block","no","yes","no","yes","no",3,2.25,1.75,2.83333333333333,1.66666666666667,5,3.33333333333333,3.67857142857143,5,2022,"No Stewardship"
"Kerr St - E side, lower mid block",130012,"No Stewardship","no","yes","no","yes","no",3.33333333333333,1.8,1.75,2.14285714285714,1.2,2.5,4.5,3.04608843537415,5,2024,"Kerr St - East side of road, mid block","no","yes","no","yes","no",3.33333333333333,2.25,1.75,2.83333333333333,1.33333333333333,4,3.33333333333333,3.46428571428571,5,2022,"No Stewardship"
