"GRI ID","Stewardship_2024","Year","Score"
120003,"Green Streets",2022,2
120003,"Green Streets",2024,5
120003,"Green Streets",2026,8
120040,"No Stewardship",2022,5
120040,"No Stewardship",2024,5
120040,"No Stewardship",2026,5
120057,"No Stewardship",2022,5
120057,"No Stewardship",2024,5
120057,"No Stewardship",2026,5
120059,"No Stewardship",2022,5
120059,"No Stewardship",2024,5
120059,"No Stewardship",2026,5
130007,"No Stewardship",2022,5
130007,"No Stewardship",2024,5
130007,"No Stewardship",2026,5
130008,"No Stewardship",2022,5
130008,"No Stewardship",2024,5
130008,"No Stewardship",2026,5
130009,"No Stewardship",2022,5
130009,"No Stewardship",2024,5
130009,"No Stewardship",2026,5
130010,"No Stewardship",2022,5
130010,"No Stewardship",2024,5
130010,"No Stewardship",2026,5
130011,"No Stewardship",2022,5
130011,"No Stewardship",2024,5
130011,"No Stewardship",2026,5
130012,"No Stewardship",2022,5
130012,"No Stewardship",2024,5
130012,"No Stewardship",2026,5
130014,"No Stewardship",2022,5
130014,"No Stewardship",2024,5
130014,"No Stewardship",2026,5
130015,"No Stewardship",2022,5
130015,"No Stewardship",2024,5
130015,"No Stewardship",2026,5
130016,"No Stewardship",2022,5
130016,"No Stewardship",2024,5
130016,"No Stewardship",2026,5
130017,"No Stewardship",2022,5
130017,"No Stewardship",2024,5
130017,"No Stewardship",2026,5
130102,"No Stewardship",2022,5
130102,"No Stewardship",2024,5
130102,"No Stewardship",2026,5
120074,"No Stewardship",2022,3
120074,"No Stewardship",2024,4
120074,"No Stewardship",2026,5
110107,"No Stewardship",2022,3
110107,"No Stewardship",2024,3
110107,"No Stewardship",2026,3
110115,"No Stewardship",2022,2
110115,"No Stewardship",2024,3
110115,"No Stewardship",2026,4
120019,"Green Streets",2022,2
120019,"Green Streets",2024,3
120019,"Green Streets",2026,4
120020,"Green Streets",2022,5
120020,"Green Streets",2024,3
120020,"Green Streets",2026,1
120022,"Green Streets",2022,2
120022,"Green Streets",2024,3
120022,"Green Streets",2026,4
120034,"Green Streets",2022,2
120034,"Green Streets",2024,3
120034,"Green Streets",2026,4
120041,"Green Streets",2022,3
120041,"Green Streets",2024,3
120041,"Green Streets",2026,3
120052,"No Stewardship",2022,5
120052,"No Stewardship",2024,3
120052,"No Stewardship",2026,1
120053,"No Stewardship",2022,3
120053,"No Stewardship",2024,3
120053,"No Stewardship",2026,3
120054,"Green Streets",2022,5
120054,"Green Streets",2024,3
120054,"Green Streets",2026,1
120063,"Green Streets",2022,2
120063,"Green Streets",2024,3
120063,"Green Streets",2026,4
120064,"Green Streets",2022,5
120064,"Green Streets",2024,3
120064,"Green Streets",2026,1
120072,"No Stewardship",2022,3
120072,"No Stewardship",2024,3
120072,"No Stewardship",2026,3
120073,"No Stewardship",2022,3
120073,"No Stewardship",2024,3
120073,"No Stewardship",2026,3
120075,"No Stewardship",2022,3
120075,"No Stewardship",2024,3
120075,"No Stewardship",2026,3
120077,"No Stewardship",2022,3
120077,"No Stewardship",2024,3
120077,"No Stewardship",2026,3
120203,"Green Streets",2022,3
120203,"Green Streets",2024,3
120203,"Green Streets",2026,3
120204,"Green Streets",2022,3
120204,"Green Streets",2024,3
120204,"Green Streets",2026,3
120205,"Green Streets",2022,3
120205,"Green Streets",2024,3
120205,"Green Streets",2026,3
130001,"No Stewardship",2022,2
130001,"No Stewardship",2024,3
130001,"No Stewardship",2026,4
130002,"No Stewardship",2022,2
130002,"No Stewardship",2024,3
130002,"No Stewardship",2026,4
110006,"No Stewardship",2022,2
110006,"No Stewardship",2024,2
110006,"No Stewardship",2026,2
110007,"No Stewardship",2022,2
110007,"No Stewardship",2024,2
110007,"No Stewardship",2026,2
110102,"No Stewardship",2022,3
110102,"No Stewardship",2024,2
110102,"No Stewardship",2026,1
110103,"No Stewardship",2022,3
110103,"No Stewardship",2024,2
110103,"No Stewardship",2026,1
110104,"No Stewardship",2022,3
110104,"No Stewardship",2024,2
110104,"No Stewardship",2026,1
110105,"No Stewardship",2022,3
110105,"No Stewardship",2024,2
110105,"No Stewardship",2026,1
110106,"No Stewardship",2022,2
110106,"No Stewardship",2024,2
110106,"No Stewardship",2026,2
110114,"No Stewardship",2022,2
110114,"No Stewardship",2024,2
110114,"No Stewardship",2026,2
110117,"Green Streets",2022,1
110117,"Green Streets",2024,2
110117,"Green Streets",2026,3
120002,"No Stewardship",2022,3
120002,"No Stewardship",2024,2
120002,"No Stewardship",2026,1
120004,"Green Streets",2022,2
120004,"Green Streets",2024,2
120004,"Green Streets",2026,2
120021,"Green Streets",2022,5
120021,"Green Streets",2024,2
120021,"Green Streets",2026,-1
120037,"No Stewardship",2022,2
120037,"No Stewardship",2024,2
120037,"No Stewardship",2026,2
120042,"Green Streets",2022,2
120042,"Green Streets",2024,2
120042,"Green Streets",2026,2
120056,"No Stewardship",2022,2
120056,"No Stewardship",2024,2
120056,"No Stewardship",2026,2
120058,"No Stewardship",2022,2
120058,"No Stewardship",2024,2
120058,"No Stewardship",2026,2
120062,"No Stewardship",2022,2
120062,"No Stewardship",2024,2
120062,"No Stewardship",2026,2
120080,"No Stewardship",2022,2
120080,"No Stewardship",2024,2
120080,"No Stewardship",2026,2
120081,"No Stewardship",2022,2
120081,"No Stewardship",2024,2
120081,"No Stewardship",2026,2
120082,"No Stewardship",2022,2
120082,"No Stewardship",2024,2
120082,"No Stewardship",2026,2
120083,"No Stewardship",2022,3
120083,"No Stewardship",2024,2
120083,"No Stewardship",2026,1
120084,"No Stewardship",2022,2
120084,"No Stewardship",2024,2
120084,"No Stewardship",2026,2
120085,"No Stewardship",2022,2
120085,"No Stewardship",2024,2
120085,"No Stewardship",2026,2
120086,"No Stewardship",2022,2
120086,"No Stewardship",2024,2
120086,"No Stewardship",2026,2
120087,"No Stewardship",2022,2
120087,"No Stewardship",2024,2
120087,"No Stewardship",2026,2
120088,"No Stewardship",2022,3
120088,"No Stewardship",2024,2
120088,"No Stewardship",2026,1
120091,"Seeding Stewardship",2022,2
120091,"Seeding Stewardship",2024,2
120091,"Seeding Stewardship",2026,2
120093,"Seeding Stewardship",2022,2
120093,"Seeding Stewardship",2024,2
120093,"Seeding Stewardship",2026,2
120094,"Seeding Stewardship",2022,2
120094,"Seeding Stewardship",2024,2
120094,"Seeding Stewardship",2026,2
120097,"No Stewardship",2022,1
120097,"No Stewardship",2024,2
120097,"No Stewardship",2026,3
120098,"No Stewardship",2022,1
120098,"No Stewardship",2024,2
120098,"No Stewardship",2026,3
120099,"No Stewardship",2022,2
120099,"No Stewardship",2024,2
120099,"No Stewardship",2026,2
120103,"No Stewardship",2022,2
120103,"No Stewardship",2024,2
120103,"No Stewardship",2026,2
120206,"Seeding Stewardship",2022,1
120206,"Seeding Stewardship",2024,2
120206,"Seeding Stewardship",2026,3
120209,"Green Streets",2022,1
120209,"Green Streets",2024,2
120209,"Green Streets",2026,3
120210,"Green Streets",2022,1
120210,"Green Streets",2024,2
120210,"Green Streets",2026,3
120212,"No Stewardship",2022,5
120212,"No Stewardship",2024,2
120212,"No Stewardship",2026,-1
130004,"No Stewardship",2022,2
130004,"No Stewardship",2024,2
130004,"No Stewardship",2026,2
130018,"Seeding Stewardship",2022,2
130018,"Seeding Stewardship",2024,2
130018,"Seeding Stewardship",2026,2
130019,"Seeding Stewardship",2022,1
130019,"Seeding Stewardship",2024,2
130019,"Seeding Stewardship",2026,3
130101,"Seeding Stewardship",2022,2
130101,"Seeding Stewardship",2024,2
130101,"Seeding Stewardship",2026,2
110121,"No Stewardship",2022,2
110121,"No Stewardship",2024,1
110121,"No Stewardship",2026,0
120102,"No Stewardship",2022,2
120102,"No Stewardship",2024,1
120102,"No Stewardship",2026,0
120108,"No Stewardship",2022,2
120108,"No Stewardship",2024,1
120108,"No Stewardship",2026,0
120207,"Seeding Stewardship",2022,1
120207,"Seeding Stewardship",2024,1
120207,"Seeding Stewardship",2026,1
120208,"Seeding Stewardship",2022,2
120208,"Seeding Stewardship",2024,1
120208,"Seeding Stewardship",2026,0
